symbol,layer,entry_date,entry,exit_date,exit,ret,days,spy_ret,excess,open
LEU,nuclear,2024-05-20,50.83,2024-05-22,47.55,-0.06452887027027843,2,-0.00043405593424050704,-0.06409481433603792,False
LEU,nuclear,2024-05-28,50.97,2024-06-03,47.09,-0.07612322886386835,6,-0.0037936458673828444,-0.07232958299648551,False
LEU,nuclear,2024-07-12,48.79,2024-07-15,47.25,-0.031563863222581756,3,0.0027501202176014594,-0.034313983440183216,False
LEU,nuclear,2024-07-16,48.88,2024-07-17,45.04,-0.07855973953921924,1,-0.014020955362313514,-0.06453878417690573,False
LEU,nuclear,2024-09-20,45.01,2025-03-31,62.21,0.3821373340223124,192,-0.009307261877181117,0.39144459589949354,False
LEU,nuclear,2025-05-02,73.42,2026-02-11,210.16,1.862435424998436,285,0.23153757731151936,1.6308978476869167,False
BWXT,nuclear,2024-03-20,98.85,2025-02-14,105.72,0.06949992247033521,331,0.1827699659096642,-0.113270043439329,False
BWXT,nuclear,2025-05-01,110.25,2025-05-06,107.28,-0.02690792641908335,5,0.0005909618650516979,-0.027498888284135048,False
BWXT,nuclear,2025-05-19,109.38,2025-05-21,106.79,-0.023638478663812523,2,-0.020156266929470812,-0.0034822117343417114,False
BWXT,nuclear,2025-05-23,118.82,2026-06-01,188.39,0.5854414206082921,374,0.32485303182034575,0.2605883887879463,False
NNE,nuclear,2025-03-19,31.26,2025-04-04,21.45,-0.31381955835300024,16,-0.10637781695722981,-0.20744174139577043,False
NNE,nuclear,2025-05-13,27.32,2025-08-20,29.05,0.06314057103728765,99,0.09058086123274434,-0.027440290195456685,False
NNE,nuclear,2025-09-15,37.35,2025-11-14,32.76,-0.12289157537096529,60,0.01949265889020424,-0.14238423426116953,False
NNE,nuclear,2026-01-14,34.37,2026-01-15,33.38,-0.028804128441538013,1,0.0027232143965294497,-0.03152734283806746,False
NNE,nuclear,2026-01-16,35.67,2026-01-26,32.79,-0.08074004489087205,10,0.0015469911274754722,-0.08228703601834753,False
NNE,nuclear,2026-01-27,35.08,2026-01-29,32.11,-0.08466365637626394,2,-0.0020848525850297728,-0.08257880379123417,False
MPWR,power-semi,2024-05-02,702.11,2024-10-31,749.99,0.06818940682817276,182,0.13305036098224998,-0.06486095415407722,False
MPWR,power-semi,2025-05-12,703.88,2025-05-19,697.09,-0.009644139741347701,7,0.020343408321448653,-0.029987548062796354,False
MPWR,power-semi,2025-06-09,700.95,2025-06-13,667.93,-0.04710605885797503,4,-0.004469104427997972,-0.04263695442997706,False
POWI,power-semi,2024-05-08,74.05,2024-05-10,72.87,-0.015920707304918125,2,0.007057332234004399,-0.022978039538922523,False
POWI,power-semi,2024-05-13,74.12,2024-05-29,72.55,-0.021121015722539882,16,0.009963192304680124,-0.031084208027220006,False
POWI,power-semi,2024-05-30,73.08,2024-06-04,70.66,-0.03314329415874073,5,0.011060044445465378,-0.04420333860420611,False
POWI,power-semi,2024-06-05,73.31,2024-06-07,72.25,-0.014406570540990815,2,-0.0012343448623435282,-0.013172225678647287,False
